bit_position,ours,bonsai
0,0.4980810880661011,0.4975149929523468
1,0.49971646070480347,0.4985739290714264
2,0.5034467577934265,0.5028965473175049
3,0.4988096058368683,0.49765193462371826
4,0.5008582472801208,0.5000959634780884
5,0.5013024806976318,0.5002541542053223
6,0.4984841048717499,0.4979211688041687
7,0.4994317293167114,0.4983622431755066
8,0.4978485405445099,0.4973999261856079
9,0.499174028635025,0.4987473487854004
10,0.502076268196106,0.5017303228378296
11,0.5007697939872742,0.5002300143241882
12,0.499442458152771,0.4991683065891266
13,0.5032948851585388,0.5025913119316101
14,0.49915072321891785,0.498125821352005
15,0.5021880865097046,0.5010323524475098
16,0.5020479559898376,0.5017096400260925
17,0.49850770831108093,0.4976222813129425
18,0.49709829688072205,0.4957517683506012
19,0.502519965171814,0.5020687580108643
20,0.4998316466808319,0.49870672821998596
21,0.4993884265422821,0.49872979521751404
22,0.5030351877212524,0.5023086071014404
23,0.5025749802589417,0.5013266801834106
24,0.49966156482696533,0.4993671476840973
25,0.5007951855659485,0.49950602650642395
26,0.5014169216156006,0.5011008977890015
27,0.500120222568512,0.498444139957428
28,0.5005359649658203,0.49987128376960754
29,0.5003000497817993,0.49961602687835693
30,0.5037363171577454,0.5025069117546082
31,0.5030256509780884,0.5018067955970764
